"pIC50","APC2D1_N_N","APC2D2_C_O","APC2D2_C_S","APC2D2_N_N","APC2D2_N_O","APC2D2_O_O","APC2D2_F_X","APC2D3_N_N","APC2D3_N_O","APC2D3_N_F","APC2D3_N_Cl","APC2D3_O_O","APC2D3_X_X","APC2D4_C_N","APC2D4_N_N","APC2D4_N_O","APC2D4_N_S","APC2D4_N_Cl","APC2D4_N_X","APC2D4_O_O","APC2D4_F_F","APC2D5_C_X","APC2D5_N_N","APC2D5_N_O","APC2D5_N_F","APC2D5_N_Cl","APC2D5_O_O","APC2D5_O_Cl","APC2D5_O_X","APC2D6_C_O","APC2D6_N_N","APC2D6_N_O","APC2D6_N_Cl","APC2D6_N_X","APC2D6_O_O","APC2D6_O_X","APC2D7_C_S","APC2D7_N_N","APC2D7_N_O","APC2D7_N_F","APC2D7_N_Cl","APC2D7_O_F","APC2D7_O_Cl","APC2D8_C_N","APC2D8_C_S","APC2D8_C_Cl","APC2D8_N_N","APC2D8_N_O","APC2D8_N_F","APC2D8_O_O","APC2D8_O_X","APC2D9_C_O","APC2D9_N_N","APC2D9_N_O","APC2D9_N_F","APC2D9_N_Cl","APC2D9_O_O","APC2D9_O_X","APC2D10_C_C","APC2D10_C_N","APC2D10_C_Cl","APC2D10_N_N","APC2D10_N_O","APC2D10_N_F","APC2D10_O_O","APC2D10_O_X"
6.43179827593301,0,5,0,0,1,1,3,0,0,0,0,0,0,6,1,0,0,0,0,0,0,6,0,2,0,0,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,5,0,2,0,0,0,0,12,0,0,0,0,6,1,0
6.50863830616573,0,5,0,0,1,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,3,0,2,0,0,2,1,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,5,0,0,0,0,1,0,12,0,0,0,0,0,0,0
6.64781748188864,0,5,0,0,1,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,6,0,0,0,0,0,1,11,0,2,0,0,0,0,0
7.15490195998574,0,3,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,4,0,2,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,0,0,0,0,2,11,0,0,0,0,0,0,0
6.21467016498923,0,5,0,0,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,3,0,2,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,5,0,0,0,0,0,0,11,0,0,0,0,0,1,0
5.76955107862173,0,5,0,0,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,3,0,2,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0,1,0,0,0,0,11,1,0,0,0,0,0,0
7.76955107862173,0,6,0,0,1,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,6,0,2,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,4,5,0,0,0,0,0,0,12,1,0,0,0,0,1,0
6.4089353929735,0,7,0,0,1,2,3,1,0,0,0,0,0,7,0,2,0,0,0,0,0,6,0,3,0,0,2,0,0,11,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,3,0,2,0,7,0,0,3,0,4,0,12,0,0,0,0,3,1,6
5.52287874528034,0,3,1,0,0,0,3,0,0,0,0,0,0,3,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,3
5.14266750356873,0,5,1,0,0,0,3,0,0,0,0,0,0,2,1,1,1,0,0,0,0,6,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
5.49485002168009,0,3,1,0,0,0,3,0,0,0,0,0,0,4,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,3
6.09691001300806,0,5,1,0,0,0,3,0,0,0,0,0,0,4,1,1,1,0,0,0,0,6,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
4.3936186348894,0,3,1,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,0,0,0,0,0,0
6.09691001300806,0,2,1,0,0,0,3,0,0,0,0,0,0,3,1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3
4.45593195564972,0,3,1,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
6.15490195998574,0,5,1,0,0,0,3,0,0,0,0,0,0,3,1,1,1,0,0,0,0,6,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
5.03151705144607,0,3,1,0,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,1,0,0,0
4.95860731484177,0,3,1,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0
5.39794000867204,1,0,0,1,0,0,3,1,0,0,0,0,0,8,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,3,0,0,0,2,0,0,0,0,3,0,0
5.49485002168009,1,0,0,1,0,0,0,1,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
5.20760831050175,1,0,0,1,0,0,3,1,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
5.04575749056067,1,2,0,1,0,1,0,1,0,0,0,0,0,7,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,2,0,0,0,4,1,2,0,0,0,0,0,0,0,0,2,0,0,0
4.64781748188864,1,0,0,1,0,0,3,1,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4.71219827006977,1,0,0,1,0,0,0,1,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.30102999566398,1,2,0,1,0,0,3,1,0,0,0,0,0,6,3,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,1,0,0,0,1,0,1,3,0,0,0,1,1,0,0,0,3,0,0
5.44369749923271,1,0,0,1,0,0,0,1,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
4.91721462968355,1,0,0,1,0,0,0,1,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.18708664335714,1,2,0,1,0,0,3,1,0,0,0,0,0,9,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,3
